$$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType,IsDefault,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ProrationPolicy.Name
BAMBOO-CORE;Term Monthly;TermDefined,true,BAMBOO-CORE,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-CORE;Term Annual;TermDefined,false,BAMBOO-CORE,Term Annual;TermDefined,Default Proration Policy
BAMBOO-PRO;Term Monthly;TermDefined,true,BAMBOO-PRO,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-PRO;Term Annual;TermDefined,false,BAMBOO-PRO,Term Annual;TermDefined,Default Proration Policy
BAMBOO-ELITE;Term Monthly;TermDefined,true,BAMBOO-ELITE,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-ELITE;Term Annual;TermDefined,false,BAMBOO-ELITE,Term Annual;TermDefined,Default Proration Policy
BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined,true,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-ADD-PAYROLL;Term Annual;TermDefined,false,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Default Proration Policy
BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined,true,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-ADD-BENEFITS;Term Annual;TermDefined,false,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Default Proration Policy
BAMBOO-ADD-TIME;Term Monthly;TermDefined,true,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-ADD-TIME;Term Annual;TermDefined,false,BAMBOO-ADD-TIME,Term Annual;TermDefined,Default Proration Policy
BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined,true,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-ADD-GLOBAL;Term Annual;TermDefined,false,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Default Proration Policy
BAMBOO-PKG-WORKFORCE;Term Monthly;TermDefined,true,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Default Proration Policy
BAMBOO-PKG-WORKFORCE;Term Annual;TermDefined,false,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Default Proration Policy
