$$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ParentProduct.StockKeepingUnit$RootBundle.StockKeepingUnit$ProductSellingModel.Name$ParentProductSellingModel.Name$RootProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Name,ParentProduct.StockKeepingUnit,ParentProductSellingModel.$$Name$SellingModelType,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,RootBundle.StockKeepingUnit,RootProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Monthly;Term Monthly;Term Monthly;USD,Percentage,15,USD,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermMonthly,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Standard Bundle Based Adjustment;USD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Annual;Term Annual;Term Annual;USD,Percentage,15,USD,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermAnnual,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-BENEFITS;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Monthly;Term Monthly;Term Monthly;USD,Percentage,15,USD,2023-01-01T00:00:00.000+0000,,BH-BBA-BENEFITS-TermMonthly,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Standard Bundle Based Adjustment;USD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-BENEFITS;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Annual;Term Annual;Term Annual;USD,Percentage,15,USD,2023-01-01T00:00:00.000+0000,,BH-BBA-BENEFITS-TermAnnual,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Monthly;Term Monthly;Term Monthly;CAD,Percentage,15,CAD,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermMonthly-CAD,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Standard Bundle Based Adjustment;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Annual;Term Annual;Term Annual;CAD,Percentage,15,CAD,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermAnnual-CAD,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Standard Bundle Based Adjustment;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-BENEFITS;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Monthly;Term Monthly;Term Monthly;CAD,Percentage,15,CAD,2023-01-01T00:00:00.000+0000,,BH-BBA-BENEFITS-TermMonthly-CAD,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Standard Bundle Based Adjustment;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-BENEFITS;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Annual;Term Annual;Term Annual;CAD,Percentage,15,CAD,2023-01-01T00:00:00.000+0000,,BH-BBA-BENEFITS-TermAnnual-CAD,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Standard Bundle Based Adjustment;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Monthly;Term Monthly;Term Monthly;GBP,Percentage,15,GBP,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermMonthly-GBP,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Standard Bundle Based Adjustment;GBP,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,BAMBOO-PKG-WORKFORCE,Term Monthly;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;BAMBOO-ADD-PAYROLL;BAMBOO-PKG-WORKFORCE;BAMBOO-PKG-WORKFORCE;Term Annual;Term Annual;Term Annual;GBP,Percentage,15,GBP,2023-01-01T00:00:00.000+0000,,BH-BBA-PAYROLL-TermAnnual-GBP,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Standard Bundle Based Adjustment;GBP,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,BAMBOO-PKG-WORKFORCE,Term Annual;TermDefined,Bundle,TermDefined
