$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;5;25;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;10;76;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;15;151;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;20;301;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;25;501;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;5;25;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;USD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;10;76;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;USD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;15;151;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;USD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;20;301;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;USD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;25;501;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;5;25;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;10;76;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;15;151;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;20;301;USD;2023-01-01T00:00:00.000+0000,Percentage,USD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;USD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
