$$AttributeCategory.Code$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
AC-KLD-MATTER;ATTR-KLD-SOURCE-GB,AC-KLD-MATTER,ATTR-KLD-SOURCE-GB
AC-KLD-MATTER;ATTR-KLD-DECOMP-PCT,AC-KLD-MATTER,ATTR-KLD-DECOMP-PCT
AC-KLD-MATTER;ATTR-KLD-STORAGE-EXP-PCT,AC-KLD-MATTER,ATTR-KLD-STORAGE-EXP-PCT
AC-KLD-MATTER;ATTR-KLD-ECA-PCT,AC-KLD-MATTER,ATTR-KLD-ECA-PCT
AC-KLD-MATTER;ATTR-KLD-REVIEW-PCT,AC-KLD-MATTER,ATTR-KLD-REVIEW-PCT
AC-KLD-MATTER;ATTR-KLD-DECOMP-GB,AC-KLD-MATTER,ATTR-KLD-DECOMP-GB
AC-KLD-MATTER;ATTR-KLD-STORAGE-EXP-GB,AC-KLD-MATTER,ATTR-KLD-STORAGE-EXP-GB
AC-KLD-MATTER;ATTR-KLD-ECA-GB,AC-KLD-MATTER,ATTR-KLD-ECA-GB
AC-KLD-MATTER;ATTR-KLD-REVIEW-GB,AC-KLD-MATTER,ATTR-KLD-REVIEW-GB
AC-KLD-MATTER;ATTR-KLD-PM-HRS-MO,AC-KLD-MATTER,ATTR-KLD-PM-HRS-MO
AC-KLD-MATTER;ATTR-KLD-TECH-HRS-MO,AC-KLD-MATTER,ATTR-KLD-TECH-HRS-MO
AC-KLD-MATTER;ATTR-KLD-TERM-MONTHS,AC-KLD-MATTER,ATTR-KLD-TERM-MONTHS
AC-KLD-VOLUME;ATTR-KLD-BILLABLE-GB,AC-KLD-VOLUME,ATTR-KLD-BILLABLE-GB
AC-KLD-VOLUME;ATTR-KLD-BILLABLE-HRS,AC-KLD-VOLUME,ATTR-KLD-BILLABLE-HRS
