Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
ATTR-KLD-SOURCE-GB,Number,Driver for Billable_GB on Staging and downstream cascade.,1000,Source data volume in GB,Source_Data_GB,true,false,Source Data,Source Data,,,GB,
ATTR-KLD-DECOMP-PCT,Number,Decompression assumption (%). Decompression GB = Source × (1 + rate/100).,50,Decompression rate percent used in the matter estimate cascade,Decompression_Rate_Pct,true,false,Decompression Rate (%),Decompression Rate (%),,,,
ATTR-KLD-STORAGE-EXP-PCT,Number,Storage expansion assumption (%). Storage Expansion GB = Decompression × (1 + rate/100).,25,Storage expansion rate percent used in the matter estimate cascade,Storage_Expansion_Rate_Pct,true,false,Storage Expansion Rate (%),Storage Expansion Rate (%),,,,
ATTR-KLD-ECA-PCT,Number,Share of Storage Expansion assigned to ECA hosting (%).,70,ECA data percent of storage expansion,ECA_Pct,true,false,ECA Data (%),ECA Data (%),,,,
ATTR-KLD-REVIEW-PCT,Number,Share of Storage Expansion assigned to active review hosting (%).,30,Active review percent of storage expansion,Active_Review_Pct,true,false,Active Review (%),Active Review (%),,,,
ATTR-KLD-DECOMP-GB,Number,Derived: Source Data × (1 + Decompression Rate %).,1500,Decompressed volume after applying decompression rate,Decompression_GB,true,false,Decompression GB,Decompression GB,,,GB,
ATTR-KLD-STORAGE-EXP-GB,Number,Derived: Decompression GB × (1 + Storage Expansion Rate %).,1875,Expanded storage volume after applying storage expansion rate,Storage_Expansion_GB,true,false,Storage Expansion GB,Storage Expansion GB,,,GB,
ATTR-KLD-ECA-GB,Number,Derived: Storage Expansion × ECA %. Synced to ECA Hosting Billable_GB.,1313,ECA hosting volume estimate,ECA_Data_GB,true,false,ECA Data GB,ECA Data GB,,,GB,
ATTR-KLD-REVIEW-GB,Number,Derived: Storage Expansion × Active Review %. Synced to Review Billable_GB.,562,Active review volume estimate,Active_Review_GB,true,false,Active Review GB,Active Review GB,,,GB,
ATTR-KLD-PM-HRS-MO,Number,From PM/Tech hours matrix. Billable_Hours = rate × Term Months.,11,PM hours per month for professional services estimate,PM_Hours_Per_Month,true,false,PM Hours Per Month,PM Hours Per Month,,,h,
ATTR-KLD-TECH-HRS-MO,Number,From PM/Tech hours matrix. Billable_Hours = rate × Term Months.,7,Tech hours per month for professional services estimate,Tech_Hours_Per_Month,true,false,Tech Hours Per Month,Tech Hours Per Month,,,h,
ATTR-KLD-TERM-MONTHS,Number,Contract term used in estimate (hours/month × months).,12,Estimate contract term in months,Term_Months,true,false,Term Months,Term Months,,,,
ATTR-KLD-BILLABLE-GB,Number,Billable volume in GB. Line Quantity stays 1; use this for pricing.,1000,Billable gigabytes for hosting/staging components,Billable_GB,true,false,Billable GB,Billable GB,,,GB,
ATTR-KLD-BILLABLE-HRS,Number,Billable hours (hrs/month × term). Line Quantity stays 1; use this for pricing.,132,Billable hours for professional services components,Billable_Hours,true,false,Billable Hours,Billable Hours,,,h,
