Catalog.Code,Code,Description,IsNavigational,Name,ParentCategory.Code,SortOrder
CAT-KLD-EDISC,KLD-CAT-STAGING,,true,Staging,,10
CAT-KLD-EDISC,KLD-CAT-ECA,,true,ECA Hosting,,20
CAT-KLD-EDISC,KLD-CAT-REVIEW,,true,Online Data Hosting,,30
CAT-KLD-EDISC,KLD-CAT-SETUP,,true,Matter Setup,,40
CAT-KLD-EDISC,KLD-CAT-PATHWAY,,true,Matter Pathways,,50
CAT-KLD-AI,KLD-CAT-ECI,,true,Early Case Insight,,10
CAT-KLD-AI,KLD-CAT-RELEVANCE,,true,Relevance & Privilege,,20
CAT-KLD-AI,KLD-CAT-PII,,true,PII Services,,30
CAT-KLD-AI,KLD-CAT-EXTEND,,true,Extenders,,40
CAT-KLD-FORENS,KLD-CAT-COLL,,true,Collection,,10
CAT-KLD-FORENS,KLD-CAT-ANALYSIS,,true,Forensic Analysis,,20
CAT-KLD-FORENS,KLD-CAT-TRAVEL,,true,Travel,,30
CAT-KLD-PS,KLD-CAT-PS-CORE,,true,Professional Services,,10
CAT-KLD-MEDIA,KLD-CAT-DELIVERY,,true,Media & Delivery,,10
