$$ProductCategory.Code$Product.StockKeepingUnit,Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.Code
KLD-CAT-PATHWAY;KLD-PATH-NEB-R1,CAT-KLD-EDISC,true,KLD-PATH-NEB-R1,KLD-CAT-PATHWAY
KLD-CAT-SETUP;KLD-SETUP-MATTER-GB,CAT-KLD-EDISC,true,KLD-SETUP-MATTER-GB,KLD-CAT-SETUP
KLD-CAT-STAGING;KLD-STAGING,CAT-KLD-EDISC,true,KLD-STAGING,KLD-CAT-STAGING
KLD-CAT-ECA;KLD-NEB-ECA-HOST,CAT-KLD-EDISC,true,KLD-NEB-ECA-HOST,KLD-CAT-ECA
KLD-CAT-REVIEW;KLD-R1-REVIEW,CAT-KLD-EDISC,true,KLD-R1-REVIEW,KLD-CAT-REVIEW
KLD-CAT-REVIEW;KLD-R1-COLD,CAT-KLD-EDISC,true,KLD-R1-COLD,KLD-CAT-REVIEW
KLD-CAT-COLL;KLD-FOR-COLL,CAT-KLD-FORENS,true,KLD-FOR-COLL,KLD-CAT-COLL
KLD-CAT-COLL;KLD-FOR-RCOLL,CAT-KLD-FORENS,true,KLD-FOR-RCOLL,KLD-CAT-COLL
KLD-CAT-COLL;KLD-FOR-DOWNTIME,CAT-KLD-FORENS,true,KLD-FOR-DOWNTIME,KLD-CAT-COLL
KLD-CAT-COLL;KLD-RMDC-HR,CAT-KLD-FORENS,true,KLD-RMDC-HR,KLD-CAT-COLL
KLD-CAT-COLL;KLD-RMDC-FLAT,CAT-KLD-FORENS,true,KLD-RMDC-FLAT,KLD-CAT-COLL
KLD-CAT-COLL;KLD-RCMGR-PC,CAT-KLD-FORENS,true,KLD-RCMGR-PC,KLD-CAT-COLL
KLD-CAT-COLL;KLD-RCMGR-SRV,CAT-KLD-FORENS,true,KLD-RCMGR-SRV,KLD-CAT-COLL
KLD-CAT-COLL;KLD-RCMGR-DECRYPT,CAT-KLD-FORENS,true,KLD-RCMGR-DECRYPT,KLD-CAT-COLL
KLD-CAT-ANALYSIS;KLD-FOR-ANALYSIS,CAT-KLD-FORENS,true,KLD-FOR-ANALYSIS,KLD-CAT-ANALYSIS
KLD-CAT-TRAVEL;KLD-TRAVEL-TIME,CAT-KLD-FORENS,true,KLD-TRAVEL-TIME,KLD-CAT-TRAVEL
KLD-CAT-TRAVEL;KLD-TRAVEL-EXP,CAT-KLD-FORENS,true,KLD-TRAVEL-EXP,KLD-CAT-TRAVEL
KLD-CAT-ECI;KLD-AI-ECI-CORE,CAT-KLD-AI,true,KLD-AI-ECI-CORE,KLD-CAT-ECI
KLD-CAT-ECI;KLD-AI-ECI-ELEMENTS,CAT-KLD-AI,true,KLD-AI-ECI-ELEMENTS,KLD-CAT-ECI
KLD-CAT-ECI;KLD-AI-CASEBOT,CAT-KLD-AI,true,KLD-AI-CASEBOT,KLD-CAT-ECI
KLD-CAT-RELEVANCE;KLD-AI-RELEVANCE,CAT-KLD-AI,true,KLD-AI-RELEVANCE,KLD-CAT-RELEVANCE
KLD-CAT-RELEVANCE;KLD-AI-PRIVILEGE,CAT-KLD-AI,true,KLD-AI-PRIVILEGE,KLD-CAT-RELEVANCE
KLD-CAT-PII;KLD-AI-PII-DETECT,CAT-KLD-AI,true,KLD-AI-PII-DETECT,KLD-CAT-PII
KLD-CAT-PII;KLD-AI-PII-EXTRACT,CAT-KLD-AI,true,KLD-AI-PII-EXTRACT,KLD-CAT-PII
KLD-CAT-PII;KLD-AI-PII-REDACT,CAT-KLD-AI,true,KLD-AI-PII-REDACT,KLD-CAT-PII
KLD-CAT-EXTEND;KLD-EXT-AIR-REVIEW,CAT-KLD-AI,true,KLD-EXT-AIR-REVIEW,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-AIR-PRIV,CAT-KLD-AI,true,KLD-EXT-AIR-PRIV,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-XLAT,CAT-KLD-AI,true,KLD-EXT-XLAT,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-CONTRACTS,CAT-KLD-AI,true,KLD-EXT-CONTRACTS,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-PI-DETECT,CAT-KLD-AI,true,KLD-EXT-PI-DETECT,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-BREACH,CAT-KLD-AI,true,KLD-EXT-BREACH,KLD-CAT-EXTEND
KLD-CAT-EXTEND;KLD-EXT-CASE-STRAT,CAT-KLD-AI,true,KLD-EXT-CASE-STRAT,KLD-CAT-EXTEND
KLD-CAT-PS-CORE;KLD-PS-PM,CAT-KLD-PS,true,KLD-PS-PM,KLD-CAT-PS-CORE
KLD-CAT-PS-CORE;KLD-PS-TECH,CAT-KLD-PS,true,KLD-PS-TECH,KLD-CAT-PS-CORE
KLD-CAT-PS-CORE;KLD-PS-AA-CONSULT,CAT-KLD-PS,true,KLD-PS-AA-CONSULT,KLD-CAT-PS-CORE
KLD-CAT-PS-CORE;KLD-PS-CONSULT,CAT-KLD-PS,true,KLD-PS-CONSULT,KLD-CAT-PS-CORE
KLD-CAT-PS-CORE;KLD-PS-EXPERT,CAT-KLD-PS,true,KLD-PS-EXPERT,KLD-CAT-PS-CORE
KLD-CAT-DELIVERY;KLD-MED-HDD,CAT-KLD-MEDIA,true,KLD-MED-HDD,KLD-CAT-DELIVERY
KLD-CAT-DELIVERY;KLD-MED-FREIGHT,CAT-KLD-MEDIA,true,KLD-MED-FREIGHT,KLD-CAT-DELIVERY
