AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
AC-KLD-MATTER,ATTR-KLD-SOURCE-GB,,1000,,,,false,false,false,false,,,,,KLD Pathway Source Data,PC-KLD-PATHWAY,1,Active,,GB,
AC-KLD-MATTER,ATTR-KLD-DECOMP-PCT,,50,,,,false,false,false,false,,100,,0,KLD Pathway Decompression Rate Pct,PC-KLD-PATHWAY,2,Active,,,
AC-KLD-MATTER,ATTR-KLD-STORAGE-EXP-PCT,,25,,,,false,false,false,false,,100,,0,KLD Pathway Storage Expansion Rate Pct,PC-KLD-PATHWAY,3,Active,,,
AC-KLD-MATTER,ATTR-KLD-ECA-PCT,,70,,,,false,false,false,false,,100,,0,KLD Pathway ECA Pct,PC-KLD-PATHWAY,4,Active,,,
AC-KLD-MATTER,ATTR-KLD-REVIEW-PCT,,30,,,,false,false,false,false,,100,,0,KLD Pathway Active Review Pct,PC-KLD-PATHWAY,5,Active,,,
AC-KLD-MATTER,ATTR-KLD-DECOMP-GB,,1500,,,,false,false,true,false,,,,,KLD Pathway Decompression GB,PC-KLD-PATHWAY,6,Active,,GB,
AC-KLD-MATTER,ATTR-KLD-STORAGE-EXP-GB,,1875,,,,false,false,true,false,,,,,KLD Pathway Storage Expansion GB,PC-KLD-PATHWAY,7,Active,,GB,
AC-KLD-MATTER,ATTR-KLD-ECA-GB,,1313,,,,false,false,true,false,,,,,KLD Pathway ECA Data GB,PC-KLD-PATHWAY,8,Active,,GB,
AC-KLD-MATTER,ATTR-KLD-REVIEW-GB,,562,,,,false,false,true,false,,,,,KLD Pathway Active Review GB,PC-KLD-PATHWAY,9,Active,,GB,
AC-KLD-MATTER,ATTR-KLD-PM-HRS-MO,,11,,,,false,false,true,false,,,,,KLD Pathway PM Hours Per Month,PC-KLD-PATHWAY,10,Active,,h,
AC-KLD-MATTER,ATTR-KLD-TECH-HRS-MO,,7,,,,false,false,true,false,,,,,KLD Pathway Tech Hours Per Month,PC-KLD-PATHWAY,11,Active,,h,
AC-KLD-MATTER,ATTR-KLD-TERM-MONTHS,,12,,,,false,false,false,false,,,,,KLD Pathway Term Months,PC-KLD-PATHWAY,12,Active,,,
AC-KLD-VOLUME,ATTR-KLD-BILLABLE-GB,,1000,,,,false,false,true,false,,,,,KLD Hosting Billable GB,PC-KLD-HOST,1,Active,,GB,
AC-KLD-VOLUME,ATTR-KLD-BILLABLE-HRS,,132,,,,false,false,true,false,,,,,KLD PS Billable Hours,PC-KLD-PS,1,Active,,h,
