$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.Code,ParentProduct.StockKeepingUnit,Sequence
KLD-CG-NEBNEB-FORENS;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-FORENS,,11,0,Forensic Collection & Analysis,,KLD-PATH-NEB-NEB,1
KLD-CG-NEBNEB-STAGING;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-STAGING,,1,0,Staging,,KLD-PATH-NEB-NEB,2
KLD-CG-NEBNEB-ECA;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-ECA,,1,0,ECA Hosting,,KLD-PATH-NEB-NEB,3
KLD-CG-NEBNEB-REVIEW;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-REVIEW,,1,0,Online Data Hosting,,KLD-PATH-NEB-NEB,4
KLD-CG-NEBNEB-AI;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-AI,,13,0,Advanced Analytics / eDiscovery AI,,KLD-PATH-NEB-NEB,5
KLD-CG-NEBNEB-PS;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-PS,,2,0,Professional Services,,KLD-PATH-NEB-NEB,6
KLD-CG-NEBNEB-MEDIA;KLD-PATH-NEB-NEB,KLD-CG-NEBNEB-MEDIA,,2,0,Media & Data Delivery,,KLD-PATH-NEB-NEB,7
KLD-CG-NEBR1-FORENS;KLD-PATH-NEB-R1,KLD-CG-NEBR1-FORENS,,11,0,Forensic Collection & Analysis,,KLD-PATH-NEB-R1,1
KLD-CG-NEBR1-STAGING;KLD-PATH-NEB-R1,KLD-CG-NEBR1-STAGING,,1,0,Staging,,KLD-PATH-NEB-R1,2
KLD-CG-NEBR1-ECA;KLD-PATH-NEB-R1,KLD-CG-NEBR1-ECA,,1,0,ECA Hosting,,KLD-PATH-NEB-R1,3
KLD-CG-NEBR1-REVIEW;KLD-PATH-NEB-R1,KLD-CG-NEBR1-REVIEW,,1,0,Online Data Hosting,,KLD-PATH-NEB-R1,4
KLD-CG-NEBR1-AI;KLD-PATH-NEB-R1,KLD-CG-NEBR1-AI,,13,0,Advanced Analytics / eDiscovery AI,,KLD-PATH-NEB-R1,5
KLD-CG-NEBR1-PS;KLD-PATH-NEB-R1,KLD-CG-NEBR1-PS,,2,0,Professional Services,,KLD-PATH-NEB-R1,6
KLD-CG-NEBR1-MEDIA;KLD-PATH-NEB-R1,KLD-CG-NEBR1-MEDIA,,2,0,Media & Data Delivery,,KLD-PATH-NEB-R1,7
KLD-CG-R1R1-FORENS;KLD-PATH-R1-R1,KLD-CG-R1R1-FORENS,,11,0,Forensic Collection & Analysis,,KLD-PATH-R1-R1,1
KLD-CG-R1R1-STAGING;KLD-PATH-R1-R1,KLD-CG-R1R1-STAGING,,1,0,Staging,,KLD-PATH-R1-R1,2
KLD-CG-R1R1-ECA;KLD-PATH-R1-R1,KLD-CG-R1R1-ECA,,1,0,ECA Hosting,,KLD-PATH-R1-R1,3
KLD-CG-R1R1-REVIEW;KLD-PATH-R1-R1,KLD-CG-R1R1-REVIEW,,1,0,Online Data Hosting,,KLD-PATH-R1-R1,4
KLD-CG-R1R1-AI;KLD-PATH-R1-R1,KLD-CG-R1R1-AI,,13,0,Advanced Analytics / eDiscovery AI,,KLD-PATH-R1-R1,5
KLD-CG-R1R1-PS;KLD-PATH-R1-R1,KLD-CG-R1R1-PS,,2,0,Professional Services,,KLD-PATH-R1-R1,6
KLD-CG-R1R1-MEDIA;KLD-PATH-R1-R1,KLD-CG-R1R1-MEDIA,,2,0,Media & Data Delivery,,KLD-PATH-R1-R1,7
