$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;KLD-FOR-COLL;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-COLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,10,
;KLD-FOR-RCOLL;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-RCOLL,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,20,
;KLD-FOR-DOWNTIME;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-DOWNTIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,30,
;KLD-RMDC-HR;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-HR,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,40,
;KLD-RMDC-FLAT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-RMDC-FLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,50,
;KLD-RCMGR-PC;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-PC,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,60,
;KLD-RCMGR-SRV;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-SRV,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,70,
;KLD-RCMGR-DECRYPT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-RCMGR-DECRYPT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,80,
;KLD-FOR-ANALYSIS;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-FOR-ANALYSIS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,90,
;KLD-TRAVEL-TIME;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-TIME,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,100,
;KLD-TRAVEL-EXP;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-FORENS;Bundle to Bundle Component Relationship,KLD-TRAVEL-EXP,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-FORENS,Bundle to Bundle Component Relationship,1,,Always,110,
;KLD-STAGING;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-STAGING;Bundle to Bundle Component Relationship,KLD-STAGING,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-STAGING,Bundle to Bundle Component Relationship,1000,,Always,120,
;KLD-NEB-ECA-HOST;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-ECA;Bundle to Bundle Component Relationship,KLD-NEB-ECA-HOST,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-ECA,Bundle to Bundle Component Relationship,1313,,Always,130,
;KLD-NEB-REVIEW;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-REVIEW;Bundle to Bundle Component Relationship,KLD-NEB-REVIEW,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-REVIEW,Bundle to Bundle Component Relationship,562,,Always,140,
;KLD-AI-ECI-CORE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-CORE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,150,
;KLD-AI-ECI-ELEMENTS;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-ECI-ELEMENTS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,160,
;KLD-AI-CASEBOT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-CASEBOT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,170,
;KLD-AI-RELEVANCE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-RELEVANCE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,180,
;KLD-AI-PRIVILEGE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PRIVILEGE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,190,
;KLD-AI-PII-DETECT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-DETECT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,200,
;KLD-AI-PII-EXTRACT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-EXTRACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,210,
;KLD-AI-PII-REDACT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,220,
;KLD-AN-ANALYTICS;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AN-ANALYTICS,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,230,
;KLD-AN-SUM;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,240,
;KLD-AN-SUM-MED;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM-MED,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,250,
;KLD-AN-XLAT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AN-XLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,260,
;KLD-AN-TRANSCRIBE;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-AI;Bundle to Bundle Component Relationship,KLD-AN-TRANSCRIBE,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-AI,Bundle to Bundle Component Relationship,1,,Always,270,
;KLD-PS-PM;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-PS,Bundle to Bundle Component Relationship,11,,Always,280,
;KLD-PS-TECH;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-PS,Bundle to Bundle Component Relationship,7,,Always,290,
;KLD-MED-HDD;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-HDD,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-MEDIA,Bundle to Bundle Component Relationship,1,,Always,300,
;KLD-MED-FREIGHT;KLD-PATH-NEB-NEB;KLD-CG-NEBNEB-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-FREIGHT,,BundleComponent,,false,false,false,true,,,KLD-PATH-NEB-NEB,Bundle,,KLD-CG-NEBNEB-MEDIA,Bundle to Bundle Component Relationship,1,,Always,310,
