$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;KLD-AI-CASEBOT;USD,0.03,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-CASEBOT
Standard Cost Book;KLD-AI-ECI-CORE;USD,0.02,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-ECI-CORE
Standard Cost Book;KLD-AI-ECI-ELEMENTS;USD,0.02,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-ECI-ELEMENTS
Standard Cost Book;KLD-AI-PII-DETECT;USD,0.1,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-PII-DETECT
Standard Cost Book;KLD-AI-PII-EXTRACT;USD,0.47,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-PII-EXTRACT
Standard Cost Book;KLD-AI-PII-REDACT;USD,0.17,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-PII-REDACT
Standard Cost Book;KLD-AI-PRIVILEGE;USD,0.12,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-PRIVILEGE
Standard Cost Book;KLD-AI-RELEVANCE;USD,0.15,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AI-RELEVANCE
Standard Cost Book;KLD-AN-ANALYTICS;USD,2.15,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AN-ANALYTICS
Standard Cost Book;KLD-AN-SUM;USD,12.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AN-SUM
Standard Cost Book;KLD-AN-SUM-MED;USD,0.23,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AN-SUM-MED
Standard Cost Book;KLD-AN-TRANSCRIBE;USD,7.05,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AN-TRANSCRIBE
Standard Cost Book;KLD-AN-XLAT;USD,19.6,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-AN-XLAT
Standard Cost Book;KLD-FOR-ANALYSIS;USD,225.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-FOR-ANALYSIS
Standard Cost Book;KLD-FOR-COLL;USD,162.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-FOR-COLL
Standard Cost Book;KLD-FOR-DOWNTIME;USD,87.5,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-FOR-DOWNTIME
Standard Cost Book;KLD-FOR-RCOLL;USD,120.95,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-FOR-RCOLL
Standard Cost Book;KLD-MED-HDD;USD,97.51,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-MED-HDD
Standard Cost Book;KLD-NEB-ECA-HOST;USD,1.23,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-NEB-ECA-HOST
Standard Cost Book;KLD-NEB-REVIEW;USD,6.02,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-NEB-REVIEW
Standard Cost Book;KLD-PS-PM;USD,85.8,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-PS-PM
Standard Cost Book;KLD-PS-TECH;USD,77.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-PS-TECH
Standard Cost Book;KLD-R1-ECA-HOST;USD,1.1,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-R1-ECA-HOST
Standard Cost Book;KLD-R1-REVIEW;USD,6.86,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-R1-REVIEW
Standard Cost Book;KLD-RCMGR-DECRYPT;USD,86.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-RCMGR-DECRYPT
Standard Cost Book;KLD-RCMGR-PC;USD,236.5,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-RCMGR-PC
Standard Cost Book;KLD-RCMGR-SRV;USD,357.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-RCMGR-SRV
Standard Cost Book;KLD-RMDC-FLAT;USD,612.5,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-RMDC-FLAT
Standard Cost Book;KLD-RMDC-HR;USD,118.0,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-RMDC-HR
Standard Cost Book;KLD-SETUP-MATTER-GB;USD,4.2,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-SETUP-MATTER-GB
Standard Cost Book;KLD-STAGING;USD,4.7,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-STAGING
Standard Cost Book;KLD-TRAVEL-TIME;USD,73.5,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,KLD-TRAVEL-TIME
