$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.5;0;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,0,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.5,500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.4;501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.4,1000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.3;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.3,1500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.2;1501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.2,2000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.1;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.1,2500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;2.0;2501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,2.0,3000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;1.9;3001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,1.9,3500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;1.8;3501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,1.8,4000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;1.7;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,1.7,4500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;1.6;4501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,1.6,5000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Evergreen Monthly;Evergreen;OverrideAmount;1.5;5001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,5001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,1.5,
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.5;0;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,0,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.5,500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.4;501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.4,1000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.3;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.3,1500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.2;1501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.2,2000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.1;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.1,2500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;2.0;2501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,2.0,3000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;1.9;3001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,1.9,3500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;1.8;3501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,3501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,1.8,4000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;1.7;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,1.7,4500
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;1.6;4501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4501,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,1.6,5000
Standard Price Adjustment Tier;KLD-NEB-ECA-HOST;Term Monthly;TermDefined;OverrideAmount;1.5;5001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,5001,Standard Price Adjustment Tier;USD,1,Months,KLD-NEB-ECA-HOST,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,1.5,
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;14.0;0;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,0,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,14.0,500
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;12.5;501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,12.5,1000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;12.0;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,12.0,2000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;11.5;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,11.5,4000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;11.0;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,11.0,6000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;10.5;6001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,6001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,10.5,8000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;10.0;8001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,8001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,10.0,10000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Evergreen Monthly;Evergreen;OverrideAmount;9.0;10001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,10001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Evergreen Monthly;Evergreen,Volume,Evergreen,OverrideAmount,9.0,
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;OverrideAmount;14.0;0;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,0,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,14.0,500
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;OverrideAmount;12.5;501;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,12.5,1000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;OverrideAmount;12.0;1001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,1001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,12.0,2000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;OverrideAmount;11.5;2001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,2001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,11.5,4000
Standard Price Adjustment Tier;KLD-R1-REVIEW;Term Monthly;TermDefined;OverrideAmount;11.0;4001;USD;2024-01-01T00:00:00.000+0000,Override,USD,2024-01-01T00:00:00.000+0000,,4001,Standard Price Adjustment Tier;USD,1,Months,KLD-R1-REVIEW,Term Monthly;TermDefined,Volume,TermDefined,OverrideAmount,11.0,6000
